index,title,rating,food,entertainment,comfort,service,value
1,Aerolineas Argentinas,5,3,2,3,3,3
2,Avianca Brazil,7,4,4,4,4,4
3,Spirit Airlines,3,2,1,2,2,2
4,Scoot,5,2,1,3,3,3
5,Atlasglobal,6,3,2,3,3,3
6,EVA Air,8,4,4,4,4,4
7,CSA Czech Airlines,5,3,2,3,3,3
8,Copa Airlines,6,3,2,3,3,3
9,Sky Airline,5,3,1,3,3,3
10,Easyfly,4,3,NULL,3,3,3
11,Kan Air,6,3,NULL,4,4,3
12,Atlantic Airways,9,4,2,4,5,4
13,Cambodia Angkor Air,5,2,1,3,3,3
14,flydubai,4,2,2,2,3,3
15,Hong Kong Airlines,6,3,3,4,4,3
16,PAWA Dominicana,5,3,NULL,3,5,3
17,Thai Smile Airways,6,3,3,3,4,4
18,BH Air,8,3,NULL,4,3,4
19,Arkia Israeli Airlines,5,2,1,2,3,3
20,Binter Canarias,9,4,NULL,4,5,4
21,Air Corsica,7,3,NULL,3,4,4
22,Yeti Airlines,8,4,NULL,3,5,5
23,China Southern Airlines,8,4,4,4,4,4
24,Germanwings,6,2,1,3,3,3
25,Etihad Airways,5,3,3,3,3,3
26,VivaAerobús,3,3,NULL,2,4,3
27,United Airlines,3,2,2,2,2,2
28,Mauritania Airlines,4,1,NULL,1,1,2
29,Boutique Air,1,NULL,NULL,2,2,1
30,Cape Air,5,NULL,NULL,2,2,2
31,Air Iceland Connect,10,5,NULL,5,5,5
32,Avianca Ecuador,6,3,2,3,3,3
33,Azul Airlines,7,3,3,3,3,3
34,Airnorth,7,2,NULL,2,3,3
35,Malmo Aviation,7,5,5,5,5,5
36,PenAir,4,3,NULL,4,3,2
37,Blue Islands,6,2,1,3,3,3
38,Berjaya Air,8,3,3,3,3,4
39,Qazaq Air,9,5,NULL,4,5,5
40,Bangkok Airways,8,4,1,4,4,4
41,Vueling Airlines,3,2,1,2,2,2
42,Precision Air,4,3,1,3,3,3
43,flyadeal,3,3,NULL,2,3,3
44,ViaAir,1,1,NULL,2,3,1
45,Titan Airways,5,3,2,3,3,3
46,Cayman Airways,4,2,NULL,3,3,2
47,American Eagle,5,3,1,3,3,3
48,Virgin Australia,6,3,3,3,3,3
49,Flair Airlines,3,2,1,2,2,2
50,Vistara,9,4,3,5,5,4
51,Air Juan,3,NULL,NULL,5,4,2
52,airblue,3,3,1,2,3,3
53,MEGA Maldives Airlines,4,2,NULL,1,4,1
54,Evelop Airlines,4,2,1,2,3,3
55,Flybe,5,2,NULL,3,3,3
56,Surinam Airways,6,2,NULL,2,4,3
57,Air New Zealand,7,3,3,3,4,3
58,GoAir,4,2,1,2,2,2
59,Iran Air,5,4,2,4,4,4
60,ANA All Nippon Airways,8,4,4,4,5,4
61,Garuda Indonesia,8,4,4,4,5,4
62,Peach Aviation,5,3,NULL,3,3,3
63,Aeromexico,5,3,3,3,3,3
64,Adria Airways,6,3,2,4,4,3
65,Passaredo,3,1,1,2,2,3
66,Aerocaribbean,3,NULL,NULL,NULL,NULL,4
67,SpiceJet,4,2,1,2,3,3
68,Swiss Intl Air Lines,7,4,3,4,4,4
69,Afriqiyah Airways,5,NULL,NULL,NULL,NULL,3
70,Vanilla Air,5,3,1,2,3,3
71,Egyptair,5,3,2,3,3,3
72,SkyWest Airlines,7,1,1,3,3,3
73,InterSky,6,4,1,4,5,4
74,Bulgaria Air,6,2,NULL,2,2,3
75,LOT Polish Airlines,5,3,2,3,3,3
76,Air Tahiti Nui,5,3,2,2,3,3
77,Jin Air,7,4,2,3,5,4
78,China Eastern Airlines,5,3,2,3,3,3
79,Jetstar Japan,2,2,2,2,2,2
80,Silver Airways,3,1,1,2,2,2
81,Corsair,5,2,1,2,3,3
82,Allegiant Air,3,2,1,2,3,2
83,Winair,1,NULL,NULL,3,3,1
84,El Al Israel Airlines,5,3,2,3,3,3
85,Brussels Airlines,5,3,2,3,3,3
86,Firefly,7,4,3,4,5,4
87,Felix Airways,8,NULL,NULL,4,4,3
88,Africa World Airlines,10,5,NULL,4,5,5
89,Solomon Airlines,8,4,2,4,4,4
90,Joon,3,2,3,2,3,2
91,Air China,4,2,2,3,3,3
92,Island Air,4,1,1,2,2,2
93,SAS Scandinavian,5,3,2,3,3,3
94,Wideroe,8,2,NULL,4,5,4
95,Mahan Air,7,4,3,4,4,4
96,Jordan Aviation,9,4,NULL,5,5,5
97,China United Airlines,4,3,1,3,2,3
98,Skymark Airlines,9,4,1,4,5,4
99,AirAsia Philippines,4,2,1,3,4,3
100,Coastal Aviation,9,NULL,NULL,4,5,5
101,Juneyao Airlines,5,3,1,4,3,3
102,US Airways,4,2,2,3,3,3
103,LAN Airlines,6,3,3,4,4,3
104,Volotea,3,2,1,3,3,2
105,SCAT Airlines,7,3,NULL,3,3,5
106,Kulula,5,2,1,2,3,3
107,Somon Air,4,2,1,3,3,3
108,Batik Air,6,3,3,4,3,4
109,Safi Airways,5,1,NULL,1,2,2
110,Darwin Airline,6,2,2,3,3,3
111,Yemenia,4,NULL,NULL,NULL,NULL,4
112,Arik Air,4,2,2,2,2,2
113,Israir Airlines,3,3,3,3,4,3
114,Bahamasair,3,2,2,2,2,2
115,Edelweiss Air,7,4,4,3,4,3
116,Boliviana de Aviacion,6,3,2,3,3,4
117,ATA Airlines,2,2,NULL,1,2,2
118,Ural Airlines,5,3,NULL,3,4,3
119,Myanmar National Airlines,8,4,4,4,5,4
120,Biman Bangladesh Airlines,6,3,2,3,3,3
121,Phuket Air,2,NULL,NULL,NULL,NULL,NULL
122,British Airways,5,3,3,3,3,3
123,Amaszonas,3,2,3,3,3,2
