index,airline,rating,legroom,recline,width,aisle,entertainment
1,XL Airways France,1,1,2,1,3,1
2,Icelandair,5,3,3,3,3,4
3,Malaysia Airlines,7,4,3,4,4,4
4,CSA Czech Airlines,8,5,4,5,4,NULL
5,China Southern Airlines,7,4,4,4,4,4
6,Etihad Airways,3,2,2,2,2,3
7,LIAT,10,5,3,5,5,NULL
8,Vietnam Airlines,7,4,4,4,3,3
9,Iberia,2,1,2,2,2,1
10,Alaska Airlines,4,3,2,3,2,1
11,Qatar Airways,8,4,4,4,4,4
12,Air India,6,4,4,4,4,3
13,Royal Brunei Airlines,5,4,3,3,3,3
14,Air China,5,3,3,3,3,2
15,LAN Peru,8,5,4,4,4,3
16,Aeromexico,6,4,3,4,4,3
17,Virgin Australia,5,3,3,3,3,3
18,Aer Lingus,6,3,3,3,3,4
19,SpiceJet,6,2,3,3,3,NULL
20,EVA Air,8,4,4,4,4,4
21,Citilink,5,2,3,3,3,NULL
22,Swiss Intl Air Lines,4,2,2,2,2,3
23,Ukraine International,3,2,2,3,2,NULL
24,Philippine Airlines,6,3,3,3,3,3
25,Air Canada,5,3,3,2,3,3
26,Finnair,4,2,2,3,3,3
27,QantasLink,1,1,1,2,2,NULL
28,Air Berlin,4,2,2,2,2,3
29,Copa Airlines,6,4,3,4,4,4
30,Flybe,7,4,2,3,3,NULL
31,Transaero Airlines,5,3,3,3,3,2
32,Oman Air,6,4,4,4,4,4
33,Korean Air,8,4,4,4,4,4
34,Air Busan,9,5,3,5,3,NULL
35,Small Planet Airlines,10,5,3,4,5,NULL
36,China Airlines,6,3,3,3,3,3
37,Middle East Airlines,10,4,4,5,5,5
38,Singapore Airlines,6,3,3,3,3,4
39,Bulgaria Air,7,3,3,3,3,NULL
40,Air Astana,1,3,1,2,3,1
41,Delta Air Lines,4,3,3,2,3,3
42,Air North Yukon's Airline,4,1,1,1,2,NULL
43,Corsair,9,4,2,5,2,3
44,Saudi Arabian Airlines,8,4,4,4,3,3
45,Qantas Airways,6,3,3,3,3,4
46,Ethiopian Airlines,5,3,3,3,3,3
47,Gulf Air,7,4,2,4,4,3
48,Austrian Airlines,4,2,2,3,3,3
49,SilkAir,7,3,3,4,3,4
50,Aegean Airlines,9,4,4,4,5,4
51,AirAsia Philippines,4,2,3,3,3,NULL
52,American Eagle,8,5,4,4,4,NULL
53,Atlasglobal,7,2,3,3,3,2
54,Thomas Cook Airlines,3,2,2,2,2,2
55,Uzbekistan Airways,4,1,1,1,1,1
56,VivaColombia,3,1,1,3,2,NULL
57,Meridiana,9,3,3,3,3,NULL
58,TUI Airways,5,3,3,3,3,3
59,Malindo Air,9,5,5,5,5,4
60,Batik Air,8,5,4,4,4,3
61,Royal Jordanian Airlines,9,4,4,4,4,4
62,WOW air,5,3,3,3,3,NULL
63,flydubai,2,1,1,1,1,1
64,Sriwijaya Air,5,3,3,4,3,NULL
65,Cathay Pacific Airways,5,3,3,3,3,4
66,Germania Airline,7,4,4,3,3,4
67,Cebu Pacific,8,4,3,4,5,NULL
68,Alitalia,3,2,2,2,2,2
69,Iberia Express,5,4,1,3,2,NULL
70,Air Canada rouge,3,1,2,2,2,2
71,El Al Israel Airlines,1,1,2,1,2,1
72,Wizz Air,3,2,2,2,2,NULL
73,Croatia Airlines,8,4,4,4,3,NULL
74,Olympic Air,8,5,4,4,4,NULL
75,Fiji Airways,8,5,5,4,5,5
76,Jetstar Pacific,6,4,4,4,4,NULL
77,American Airlines,3,2,2,2,2,2
